Player,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,Player-additional,Rnd,Pick,Tm,Pos,Age,To,1st_Team_AllPro,Pro_Bowl,Years_As_Starter,Weighted_Aprox_Value,DrAV,G,Pass_Completed,Pass_Attempts,Pass_Yards,Pass_TDs,Interceptions_Thrown,Rush_Attempts,Rush_Yards,Rush_TDs,Receptions,Receiving_Yards,Receiving_Touchdowns,Solo_Tackles,Interceptions,Sack,-9999
Malcolm Rodriguez,5-11,232,4.52,39.5,,120.0,,,RodrMa00,6,188,DET,LB,23,2022.0,0,0,1,6.0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,,1.0,RodrMa00
Jeremy Ruckert,6-5,250,,,19.0,,,,RuckJe00,3,101,NYJ,TE,22,2022.0,0,0,0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,,,,RuckJe00
Jamaree Salyer,6-3,321,,,31.0,,,,SalyJa00,6,195,LAC,OL,22,2022.0,0,0,1,7.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SalyJa00
Myjai Sanders,6-5,228,4.67,33.0,,120.0,,4.37,SandMy00,3,100,ARI,DE,24,2022.0,0,0,0,2.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,3.0,SandMy00
Justin Shaffer,6-4,314,5.14,25.5,,107.0,,,ShafJu00,6,190,ATL,OL,24,,0,0,0,,,,,,,,,,,,,,,,,,ShafJu00
Khalil Shakir,6-0,196,4.43,34.5,,124.0,7.28,4.21,ShakKh00,5,148,BUF,WR,22,2022.0,0,0,0,2.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,161.0,1.0,1.0,,,ShakKh00
Brandon Smith,6-4,250,4.52,37.5,,128.0,,,SmitBr08,4,120,CAR,LB,21,2022.0,0,0,0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,SmitBr08
Lecitus Smith,6-3,314,5.18,,23.0,99.0,7.88,4.78,SmitLe01,6,215,ARI,OL,24,2022.0,0,0,0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,SmitLe01
Tyler Smith,6-5,324,5.02,27.5,,105.0,7.78,4.65,SmitTy02,1,24,DAL,OL,21,2022.0,0,0,1,8.0,8.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,SmitTy02
Tyreke Smith,6-3,254,4.86,34.0,,117.0,,,SmitTy03,5,158,SEA,DE,22,,0,0,0,,,,,,,,,,,,,,,,,,SmitTy03
Baylon Spector,6-0,233,4.6,36.0,,122.0,,,SpecBa00,7,231,BUF,LB,23,2022.0,0,0,0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,SpecBa00
Isaiah Spiller,6-0,217,,30.0,,114.0,,,SpilIs00,4,123,LAC,RB,21,2022.0,0,0,0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,18.0,41.0,0.0,3.0,13.0,0.0,,,,SpilIs00
Jordan Stout,6-3,209,4.65,,,,,,StouJo00,4,130,BAL,P,24,2022.0,0,0,1,2.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,StouJo00
Cole Strange,6-5,307,5.03,28.0,31.0,120.0,7.44,4.5,StraCo01,1,29,NWE,OL,24,2022.0,0,0,1,7.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,StraCo01
Pierre Strong,5-11,207,4.37,36.0,,124.0,,,StroPi00,4,127,NWE,RB,23,2022.0,0,0,0,1.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,10.0,100.0,1.0,7.0,42.0,0.0,5.0,,,StroPi00
Andrew Stueber,6-7,325,,24.5,,101.0,7.94,4.9,StueAn00,7,245,NWE,OL,23,,0,0,0,,,,,,,,,,,,,,,,,,StueAn00
Alontae Taylor,6-0,199,4.36,34.5,,128.0,,,TaylAl01,2,49,NOR,DB,23,2022.0,0,0,1,3.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,,,TaylAl01
Cam Taylor-Britt,5-11,196,4.38,,,,,,TaylCa01,2,60,CIN,CB,22,2022.0,0,0,1,4.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,,,TaylCa01
Luke Tenuta,6-8,319,5.41,26.0,,104.0,,4.77,TenuLu00,6,209,BUF,OL,23,2022.0,0,0,0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,TenuLu00
Kayvon Thibodeaux,6-4,254,4.58,,27.0,,,,ThibKa00,1,5,NYG,DE,21,2022.0,0,0,1,7.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,,4.0,ThibKa00
Cameron Thomas,6-4,267,,,24.0,,,,ThomCa03,3,87,ARI,DE,22,2022.0,0,0,0,1.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,3.0,ThomCa03
Isaiah Thomas,6-5,266,4.7,31.5,,117.0,,,ThomIs01,7,223,CLE,DE,23,2022.0,0,0,0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,1.0,ThomIs01
Skylar Thompson,6-2,217,4.91,31.0,,112.0,7.0,4.28,ThomSk00,7,247,MIA,QB,25,2022.0,0,0,0,2.0,2.0,7.0,60.0,105.0,534.0,1.0,3.0,14.0,21.0,0.0,0.0,0.0,0.0,,,,ThomSk00
Tyquan Thornton,6-2,181,4.28,36.5,,130.0,,,ThorTy00,2,50,NWE,WR,22,2022.0,0,0,1,2.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,1.0,22.0,247.0,2.0,2.0,,,ThorTy00
Channing Tindall,6-2,230,4.47,42.0,,129.0,,,TindCh00,3,102,MIA,LB,22,2022.0,0,0,0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,TindCh00
Jalen Tolbert,6-1,194,4.49,36.0,,123.0,7.08,,TolbJa00,3,88,DAL,WR,23,2022.0,0,0,0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,,,,TolbJa00
Zach Tom,6-4,304,4.94,33.0,,118.0,7.32,4.47,TomxZa00,4,140,GNB,OL,23,2022.0,0,0,0,3.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,TomxZa00
Cole Turner,6-6,246,4.76,27.0,17.0,120.0,7.06,4.41,TurnCo00,5,149,WAS,TE,22,2022.0,0,0,0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0,0.0,,,,TurnCo00
Delarrin Turner-Yell,5-10,197,4.47,,,122.0,,,TurnDe02,5,152,DEN,S,22,2022.0,0,0,0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,,,TurnDe02
Eyioma Uwazurike,6-6,316,,33.0,,107.0,,,UwazEy00,4,116,DEN,DE,24,2022.0,0,0,0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,,,UwazEy00
Cordell Volson,6-6,315,5.27,25.0,25.0,104.0,8.31,4.93,VolsCo02,4,136,CIN,T,24,2022.0,0,0,1,9.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,VolsCo02
Matt Waletzko,6-8,312,5.03,30.0,,113.0,,,WaleMa00,5,155,DAL,OL,22,2022.0,0,0,0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,WaleMa00
Quay Walker,6-4,241,4.52,32.0,,122.0,,,WalkQu00,1,22,GNB,LB,22,2022.0,0,0,1,7.0,7.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,,1.5,WalkQu00
Rasheed Walker,6-6,313,,,,,,,WalkRa00,7,249,GNB,OL,22,2022.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,WalkRa00
Travon Walker,6-5,272,4.51,35.5,,123.0,6.89,4.32,WalkTr03,1,1,JAX,DE,21,2022.0,0,0,1,6.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,3.5,WalkTr03
Christian Watson,6-4,208,4.36,38.5,,136.0,,,WatsCh00,2,34,GNB,WR,23,2022.0,0,0,1,7.0,7.0,14.0,0.0,0.0,0.0,0.0,0.0,7.0,80.0,2.0,41.0,611.0,7.0,,,,WatsCh00
Jaylen Watson,6-2,197,4.51,,18.0,,,,WatsJa02,7,243,KAN,DB,23,2022.0,0,0,0,3.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,,WatsJa02
Luke Wattenberg,6-4,299,5.2,29.5,,113.0,7.45,4.57,WattLu00,5,171,DEN,OL,24,2022.0,0,0,0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,WattLu00
Rachaad White,6-0,214,4.48,38.0,,125.0,,,WhitRa01,3,91,TAM,RB,23,2022.0,0,0,0,4.0,4.0,17.0,0.0,0.0,0.0,0.0,0.0,129.0,481.0,1.0,50.0,290.0,2.0,4.0,,,WhitRa01
Zamir White,6-0,214,4.4,33.5,,128.0,,,WhitZa01,4,122,LVR,RB,22,2022.0,0,0,0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,17.0,70.0,0.0,0.0,0.0,0.0,,,,WhitZa01
Damarion Williams,5-10,182,,34.5,17.0,118.0,,,WillDa15,4,141,BAL,CB,24,2022.0,0,0,0,1.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,,WillDa15
Jameson Williams,6-2,179,,,,,,,WillJa11,1,12,DET,WR,21,2022.0,0,0,0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0,0.0,1.0,41.0,1.0,,,,WillJa11
Joshua Williams,6-3,195,4.53,36.0,,124.0,,,WillJo03,4,135,KAN,CB,22,2022.0,0,0,0,2.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1.0,,WillJo03
Kyren Williams,5-9,194,4.65,32.0,,116.0,,,WillKy02,5,164,LAR,RB,22,2022.0,0,0,0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,35.0,139.0,0.0,9.0,76.0,0.0,2.0,,,WillKy02
Sam Williams,6-4,261,4.46,32.5,,123.0,,,WillSa00,2,56,DAL,DE,23,2022.0,0,0,0,2.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,,4.0,WillSa00
Malik Willis,6-1,219,,,,,,,WillMa12,3,86,TEN,QB,23,2022.0,0,0,0,1.0,1.0,8.0,31.0,61.0,276.0,0.0,3.0,27.0,123.0,1.0,0.0,0.0,0.0,1.0,,,WillMa12
Garrett Wilson,6-0,183,4.38,36.0,,123.0,,4.36,WilsGa00,1,10,NYJ,WR,22,2022.0,0,0,1,8.0,8.0,17.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,83.0,1103.0,4.0,1.0,,,WilsGa00
Perrion Winfrey,6-4,290,4.89,,,,,,WinfPe00,4,108,CLE,DT,22,2022.0,0,0,0,1.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,0.5,WinfPe00
Jelani Woods,6-7,259,4.61,,24.0,,,,WoodJe01,3,73,IND,TE,23,2022.0,0,0,0,2.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,312.0,3.0,1.0,,,WoodJe01
JT Woods,6-2,195,4.36,39.5,,128.0,,,WoodJT00,3,79,LAC,S,22,2022.0,0,0,0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,WoodJT00
Tariq Woolen,6-4,205,4.26,42.0,,,,,WoolTa00,5,153,SEA,CB,23,2022.0,0,1,1,10.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,6.0,,WoolTa00
Alex Wright,6-5,271,,,15.0,,,,WrigAl01,3,78,CLE,DE,22,2022.0,0,0,0,3.0,3.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,,WrigAl01
Devonte Wyatt,6-3,304,4.77,29.0,,111.0,,,WyatDe00,1,28,GNB,DT,24,2022.0,0,0,0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,,1.5,WyatDe00
Cade York,6-1,206,,,12.0,,,,YorkCa00,4,124,CLE,K,21,2022.0,0,0,1,1.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,YorkCa00
Nick Zakelj,6-6,316,5.13,28.5,27.0,110.0,7.75,4.71,ZakeNi00,6,187,SFO,OL,23,2022.0,0,0,0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,ZakeNi00
Bailey Zappe,6-1,215,4.88,30.0,,109.0,7.19,4.4,ZappBa00,4,137,NWE,QB,23,2022.0,0,0,0,2.0,2.0,4.0,65.0,92.0,781.0,5.0,3.0,10.0,0.0,0.0,1.0,-6.0,0.0,,,,ZappBa00
